LOOK	L UH K
ANOTHER	AH N AH DH ER
DAY'S	D EY Z
MONOTONY	M AH N AA T AH N IY
HAS	HH AE Z
HAS(2)	HH AH Z
GOTTEN	G AA T AH N
GOTTEN(2)	G AO T AH N
POINT	P OY N T
I'M	AY M
I'M(2)	AH M
SNAIL	S N EY L
I'VE	AY V
GOT	G AA T
FORMULATE	F AO R M Y AH L EY T
PLOT	P L AA T
END	EH N D
JAIL	JH EY L
SUCCESS	S AH K S EH S
OPTION	AA P SH AH N
OPTION(2)	AO P SH AH N
FAILURE'S	F EY L Y ER Z
MOM	M AA M
LOVE	L AH V
TRAIL	T R EY L
CANNOT	K AE N AA T
CANNOT(2)	K AH N AA T
GROW	G R OW
SALEM'S	S EY L AH M Z
LOT	L AA T
LOT(2)	L AO T
FEET	F IY T
FAIL	F EY L
MAY	M EY
BE	B IY
CAN	K AE N
CAN(2)	K AH N
ANYTHING	EH N IY TH IH NG
SET	S EH T
MIND	M AY N D
TOUCH	T AH CH
FEEL	F IY L
RUSH	R AH SH
CLUTCH	K L AH CH
ISN'T	IH Z AH N T
ISN'T(2)	IH Z AH N
ENOUGH	IH N AH F
ENOUGH(2)	IY N AH F
WONDER	W AH N D ER
WHAT'S	W AH T S
WHAT'S(2)	HH W AH T S
STORE	S T AO R
LUST	L AH S T
TORTUROUS	T AO R CH UW AH S
MUST	M AH S T
SORCERESS	S AO R S AH R AH S
'CAUSE	K AH Z
DID	D IH D
IMPOSSIBLE	IH M P AA S AH B AH L
GAINED	G EY N D
TRUST	T R AH S T
PLAY	P L EY
IT'LL	IH T AH L
IT'LL(2)	IH T L
DANGEROUS	D EY N JH ER AH S
FUCK	F AH K
BURNT	B ER N T
SHOW	SH OW
HURT	HH ER T
TREATED	T R IY T AH D
TREATED(2)	T R IY T IH D
DIRT	D ER T
BEFORE	B IH F AO R
BEFORE(2)	B IY F AO R
YA'	Y AA
'EVOL'	EH V AH L
SPELL	S P EH L
BACKWARDS	B AE K W ER D Z
I'LL	AY L
YA	Y AA
NOBODY	N OW B AA D IY
NOBODY(2)	N OW B AH D IY
WALK	W AO K
WALK(2)	W AA K
ROAD	R OW D
ALONE	AH L OW N
ONE'S	W AH N Z
FAULT	F AO L T
PATH	P AE TH
CHOSEN	CH OW Z AH N
FROZEN	F R OW Z AH N
SNOW	S N OW
EMOTION	IH M OW SH AH N
EMOTION(2)	IY M OW SH AH N
WHATSOEVER	W AH T S OW EH V ER
WHATSOEVER(2)	HH W AH T S OW EH V ER
ASK	AE S K
WHY	W AY
WHY(2)	HH W AY
MO'FUCKIN'	M AA F AH K AH N
BLOODSUCKING	B L AH D S AH K IH NG
SUCCUBUSES	S AH K Y UW B Y UW Z AH Z
TRIED	T R AY D
DEPARTMENT	D IH P AA R T M AH N T
AIN'T	EY N T
LUCK	L AH K
SUCKS	S AH K S
EXACTLY	IH G Z AE K T L IY
THOUGHT	TH AO T
TRYIN'	T R AY IH N
START	S T AA R T
HEART	HH AA R T
SOME	S AH M
KIND	K AY N D
EMOTIONAL	IH M OW SH AH N AH L
EMOTIONAL(2)	IY M OW SH AH N AH L
ROLLER-COASTER	R OW L ER K OW S T ER
SOMETHIN'	S AH M TH IH N
TIL'	T IH L
TOY	T OY
EMOTIONS	IH M OW SH AH N Z
AN	AE N
AN(2)	AH N
EXPLOSION	IH K S P L OW ZH AH N
EVERY	EH V ER IY
EVERY(2)	EH V R IY
TIME	T AY M
WASN'T	W AA Z AH N T
WASN'T(2)	W AH Z AH N T
JOKIN'	JH AA K AH N
TAKE	T EY K
BREATH	B R EH TH
AWAY	AH W EY
YOU'RE	Y UH R
YOU'RE(2)	Y UW R
SUPERNOVA	S UW P ER N OW V AH
SPACE-BOUND	S P EY S B AW N D
ROCKETSHIP	R AA K AH T SH IH P
HEART'S	HH AA R T S
MOON	M UW N
AIMIN'	EY M AH N
AT	AE T
TWO	T UW
HUNDRED	HH AH N D R AH D
HUNDRED(2)	HH AH N D R IH D
HUNDRED(3)	HH AH N ER D
HUNDRED(4)	HH AH N D ER D
FIFTY	F IH F T IY
THOUSAND	TH AW Z AH N D
THOUSAND(2)	TH AW Z AH N
MILES	M AY L Z
MILES(2)	M AY AH L Z
CLEAR	K L IH R
NIGHT	N AY T
JUNE	JH UW N
WHATEVER	W AH T EH V ER
WHATEVER(2)	HH W AH T EH V ER
TAKES	T EY K S
SHAKES	SH EY K S
BODY	B AA D IY
ACHES	EY K S
ZERO	Z IY R OW
STRENGTH	S T R EH NG K TH
STRENGTH(2)	S T R EH NG TH
LIMIT	L IH M AH T
FAR	F AA R
BOUNDARIES	B AW N D ER IY Z
BOUNDARIES(2)	B AW N D R IY Z
LENGTHS	L EH NG K TH S
LENGTHS(2)	L EH NG TH S
SAY	S EY
UNTIL	AH N T IH L
PERSON	P ER S AH N
THINK'S	TH IH NG K S
GONNA	G AA N AH
THEN	DH EH N
'EM	AH M
SAME	S EY M
SOON	S UW N
FEELINGS	F IY L IH NG Z
CONTEST	K AA N T EH S T
CONTEST(2)	K AH N T EH S T
CONQUEST	K AA NG K W EH S T
MATE	M EY T
LOOKIN'	L UH K IH N
STUMBLED	S T AH M B AH L D
ONTO	AA N T UW
ONTO(2)	AO N T UW
MUST'VE	M AH S T IH V
FATE	F EY T
STAKE	S T EY K
DOES	D AH Z
DOES(2)	D IH Z
LET'S	L EH T S
CUT	K AH T
CHASE	CH EY S
'FORE	F AO R
DOOR	D AO R
SHUTS	SH AH T S
FACE	F EY S
PROMISE	P R AA M AH S
CAVE	K EY V
BREAK	B R EY K
LEAVE	L IY V
MYSELF	M AY S EH L F
OPEN	OW P AH N
MAKIN'	M EY K IH N
MISTAKE	M IH S T EY K
250	T UW F AY V Z IY R OW
000	Z IY R OW Z IY R OW Z IY R OW
AFTER	AE F T ER
YEAR	Y IH R
6	S IH K S
MONTHS	M AH N TH S
LONGER	L AO NG G ER
HURTS	HH ER T S
MISTREATED	M IH S T R IY T IH D
POUR	P AO R
GUARD	G AA R D
SWEAR	S W EH R
BRAINS	B R EY N Z
LAP	L AE P
LAY	L EY
DIE	D AY
PLEADIN'	P L IY D AH N
STOP	S T AA P
LEAVIN'	L IY V AH N
LISTEN	L IH S AH N
BREATHIN'	B R IY TH AH N
PUT	P UH T
BOTH	B OW TH
HANDS	HH AE N D Z
HANDS(2)	HH AE N Z
THROAT	TH R OW T
SIT	S IH T
TOP	T AA P
TOP(2)	T AO P
SQUEEZIN'	S K W IY Z AH N
NECK	N EH K
POPSICLE	P AA P S IH K AH L
STICK	S T IH K
POSSIBLE	P AA S AH B AH L
REASON	R IY Z AH N
THINK	TH IH NG K
HOUSE	HH AW S
LIVE	L AY V
LIVE(2)	L IH V
TEARS	T EH R Z
TEARS(2)	T IH R Z
STREAM	S T R IY M
CHEEKS	CH IY K S
GUN	G AH N
TEMPLE	T EH M P AH L
WOULD'VE	W UH D AH V
ADORED	AH D AO R D
LATE	L EY T
SAVE	S EY V
OUR	AW ER
OUR(2)	AW R
OUR(3)	AA R
YOU'LL	Y UW L
SKY	S K AY
SEE	S IY
STAR	S T AA R
'CUZ	K AH Z
LOST	L AO S T
WITHOUT	W IH TH AW T
WITHOUT(2)	W IH DH AW T
STAND	S T AE N D
WATCH	W AA CH
WATCH(2)	W AO CH
BURN	B ER N
ALRIGHT	AO L R AY T
BECAUSE	B IH K AO Z
BECAUSE(2)	B IH K AH Z
BECAUSE(3)	B IH K AA Z
WAY	W EY
HEAR	HH IY R
CRY	K R AY
LIE	L AY
TELL	T EH L
REALLY	R IH L IY
REALLY(2)	R IY L IY
FEELS	F IY L Z
STEEL	S T IY L
KNIFE	N AY F
WINDPIPE	W IH N D P AY P
BREATHE	B R IY DH
STILL	S T IH L
FIGHT	F AY T
WHILE	W AY L
WHILE(2)	HH W AY L
LONG	L AO NG
WRONG	R AO NG
FLIGHT	F L AY T
HIGH	HH AY
DRUNK	D R AH NG K
HATE	HH EY T
HUFFING	HH AH F IH NG
PAINT	P EY N T
SUFFER	S AH F ER
SUFFOCATE	S AH F AH K EY T
IM	IH M
ABOUT	AH B AW T
DROWN	D R AW N
SHE	SH IY
RESUSCITATES	R AH S AH S AH T EY T S
FUCKING	F AH K IH NG
HATES	HH EY T S
WAIT	W EY T
WHERE	W EH R
WHERE(2)	HH W EH R
GOING	G OW IH NG
GOING(2)	G OW IH N
LEAVING	L IY V IH NG
WE'RE	W IY R
WE'RE(2)	W IH R
WE'RE(3)	W ER
RUNNING	R AH N IH NG
INSANE	IH N S EY N
CAUSE	K AA Z
CAUSE(2)	K AO Z
GOOD	G UH D
GOOD(2)	G IH D
GREAT	G R EY T
SUPERMAN	S UW P ER M AH N
SUPERMAN(2)	S UW P ER M AE N
WIND	W AY N D
WIND(2)	W IH N D
SHE'S	SH IY Z
LOIS	L OW AH S
LANE	L EY N
BAD	B AE D
AWFUL	AA F AH L
AWFUL(2)	AO F AH L
ASHAMED	AH SH EY M D
WHO'S	HH UW Z
DUDE	D UW D
NAME	N EY M
LAID	L EY D
HER	HH ER
STOOP	S T UW P
LOW	L OW
GUESS	G EH S
SOMEBODY	S AH M B AA D IY
SOMEBODY(2)	S AH M B AH D IY
THEM	DH EH M
THEM(2)	DH AH M
MEET	M IY T
NEITHER	N IY DH ER
NEITHER(2)	N AY DH ER
HIT	HH IH T
WARM	W AO R M
FUZZY	F AH Z IY
FEELING	F IY L IH NG
YEAH	Y AE
CHILLS	CH IH L Z
USED	Y UW Z D
SICK	S IH K
LOOKING	L UH K IH NG
SWORE	S W AO R
YOU'VE	Y UW V
NOTHING	N AH TH IH NG
EACH	IY CH
OTHER'S	AH DH ER Z
SPEWING	S P Y UW IH NG
VENOM	V EH N AH M
PUSH	P UH SH
PULL	P UH L
HAIR	HH EH R
SCRATCH	S K R AE CH
CLAW	K L AO
BIT	B IH T
THROW	TH R OW
PIN	P IH N
MOMENTS	M OW M AH N T S
TOOK	T UH K
CONTROLS	K AH N T R OW L Z
SEPARATE	S EH P ER EY T
SEPARATE(2)	S EH P ER IH T
SEPARATE(3)	S EH P R AH T
WAYS	W EY Z
TODAY	T AH D EY
TODAY(2)	T UW D EY
YESTERDAY	Y EH S T ER D EY
YESTERDAY(2)	Y EH S T ER D IY
DIFFERENT	D IH F ER AH N T
DIFFERENT(2)	D IH F R AH N T
DAY	D EY
SOUND	S AW N D
BROKEN	B R OW K AH N
RECORDS	R AH K AO R D Z
RECORDS(2)	R EH K ER D Z
RECORDS(3)	R IH K AO R D Z
PLAYIN'	P L EY IH N
PROMISED	P R AA M AH S T
RESTRAINT	R IH S T R EY N T
RESTRAINT(2)	R IY S T R EY N T
NINTENDO	N IH N T EH N D OW
GAME	G EY M
LIED	L AY D
WINDOW	W IH N D OW
PANE	P EY N
SAID	S EH D
THINGS	TH IH NG Z
DIDN'T	D IH D AH N T
DIDN'T(2)	D IH D N T
DIDN'T(3)	D IH D AH N
DIDN'T(4)	D IH N T
MEAN	M IY N
FALL	F AO L
FALL(2)	F AA L
INTO	IH N T UW
INTO(2)	IH N T AH
PATTERNS	P AE T ER N Z
ROUTINE	R UW T IY N
TEMPER'S	T EH M P ER Z
BLINDED	B L AY N D IH D
PLEASE	P L IY Z
MAYBE	M EY B IY
RELATIONSHIP	R IY L EY SH AH N SH IH P
CRAZY	K R EY Z IY
SEEMS	S IY M Z
HAPPENS	HH AE P AH N Z
TORNADO	T AO R N EY D OW
MEETS	M IY T S
VOLCANO	V AA L K EY N OW
THOUGH	DH OW
PICK	P IH K
BAGS	B AE G Z
SIDEWALK	S AY D W AO K
SINCERITY	S IH N S EH R AH T IY
VOICE	V OY S
TALK	T AO K
EYEBALL	AY B AO L
PISSED	P IH S T
AIM	EY M
FIST	F IH S T
DRY	D R AY
WALL	W AO L
WILL	W IH L
WILL(2)	W AH L
APOLOGIZE	AH P AA L AH JH AY Z
LIES	L AY Z
TIRED	T AY ER D
LIAR	L AY ER
TRIES	T R AY Z
I'MMA	IH M AH
TIE	T AY
BED	B EH D
FIRE	F AY ER
FIRE(2)	F AY R
AFRAID	AH F R EY D
EVERYBODY	EH V R IY B AA D IY
HAND	HH AE N D
WE'LL	W IY L
WE'LL(2)	W IH L
TOGETHER	T AH G EH DH ER
STORM	S T AO R M
WEATHER	W EH DH ER
LETTING	L EH T IH NG
HOLLER	HH AA L ER
RIDE	R AY D
PLACE	P L EY S
MIGHT	M AY T
TRYING	T R AY IH NG
TRYING(2)	T R AY NG
FOLLOW	F AA L OW
TRY	T R AY
READ	R EH D
READ(2)	R IY D
LYRICS	L IH R IH K S
PAPER	P EY P ER
STING	S T IH NG
CAUSING	K AA Z IH NG
CAUSING(2)	K AO Z IH NG
MAYHEM	M EY HH EH M
SOMETHING	S AH M TH IH NG
DAMN	D AE M
DOING	D UW IH NG
BEANS	B IY N Z
GASSED	G AE S T
THINKS	TH IH NG K S
STOPPING	S T AA P IH NG
DOUBT	D AW T
UNDOUBTEDLY	AH N D AW T IH D L IY
THOSE	DH OW Z
TEARING	T EH R IH NG
TEARING(2)	T IH R IH NG
BALCONY	B AE L K AH N IY
IFS	IH F S
ANDS	AE N D Z
BUTS	B AH T S
INFINITE	IH N F AH N AH T
LAST	L AE S T
RELAPSE	R IY L AE P S
ALBUM	AE L B AH M
SHITTING	SH IH T IH NG
WHETHER	W EH DH ER
WHETHER(2)	HH W EH DH ER
SALARY	S AE L ER IY
PAID	P EY D
HOURLY	AW R L IY
BOWS	B AW Z
BOWS(2)	B OW Z
SHITS	SH IH T
BOWELS	B AW AH L Z
BOWELS(2)	B AW L Z
WHICHEVER	W IH CH EH V ER
WHICHEVER(2)	HH W IH CH EH V ER
FIRST	F ER S T
WORSE	W ER S
MARRIED	M EH R IY D
CHRISTMAS	K R IH S M AH S
GIFT	G IH F T
CURSE	K ER S
FORGET	F ER G EH T
FORGET(2)	F AO R G EH T
EARTH	ER TH
URGE	ER JH
DICK	D IH K
UNIVERSE	Y UW N AH V ER S
OKAY	OW K EY
QUIT	K W IH T
PLAYING	P L EY IH NG
SCISSORS	S IH Z ER Z
SHIT	SH IH T
CRAP	K R AE P
SHOULDN'T	SH UH D AH N T
RHYME	R AY M
RHYTHM	R IH DH AH M
RAP	R AE P
TEETH	T IY TH
FILLINGS	F IH L IH NG Z
INSTEAD	IH N S T EH D
CROWNED	K R AW N D
CAPPED	K AE P T
FANS	F AE N Z
HONEST	AA N AH S T
CD	S IY D IY
EHHH	EH HH
PERHAPS	P ER HH AE P S
RAN	R AE N
ACCENTS	AE K S EH N T S
GROUND	G R AW N D
RELAX	R IH L AE K S
RELAX(2)	R IY L AE K S
CLICK-CLACK	K L IH K K L AE K
AROUND	ER AW N D
AROUND(2)	ER AW N
CALLED	K AO L D
CIRCLE	S ER K AH L
FIGURE	F IH G Y ER
MAPPED	M AE P T
BLACK	B L AE K
CLOUD	K L AW D
FOLLOWS	F AA L OW Z
EXORCISE	EH K S AO R S AY Z
DEMONS	D IY M AH N Z
MOTHERFUCKERS	M AH DH ER F AH K ER Z
JUMPING	JH AH M P IH NG
JACKS	JH AE K S
KEEP	K IY P
LIVING	L IH V IH NG
STARTING	S T AA R T IH NG
BREAKING	B R EY K IH NG
CAGE	K EY JH
STANDING	S T AE N D IH NG
MANNING	M AE N IH NG
FED	F EH D
DECISION	D IH S IH ZH AH N
CLEAN	K L IY N
ADMITTEDLY	AE D M IH T IH D L IY
PROBABLY	P R AA B AH B L IY
SUBLIMINALLY	S AH B L IH M IH N AH L IY
COULD	K UH D
BRAND	B R AE N D
HELPED	HH EH L P T
REALIZE	R IY AH L AY Z
RINGER	R IH NG ER
LITTLE	L IH T AH L
MIDDLE	M IH D AH L
FINGER	F IH NG G ER
EYE	AY
HATERS	HH EY T ER Z
BEES	B IY Z
STINGERS	S T IH NG ER Z
DEAD	D EH D
BEEF	B IY F
LINGERS	L IH NG G ER Z
DRAMA	D R AA M AH
FOCUS	F OW K AH S
FOCUS(2)	F OW K IH S
SOLELY	S OW AH L IY
HANDLING	HH AE N D L IH NG
HANDLING(2)	HH AE N D AH L IH NG
RESPONSIBILITIES	R IY S P AA N S AH B IH L AH T IY Z
SOLEMNLY	S AO L AH M L IY
ALWAYS	AO L W EY Z
ALWAYS(2)	AO L W IY Z
TREAT	T R IY T
DAUGHTERS	D AO T ER Z
RAISE	R EY Z
COULDN'T	K UH D AH N T
COULDN'T(2)	K UH D AH N
LIFT	L IH F T
SINGLE	S IH NG G AH L
SHINGLE	SH IH NG G AH L
STRONG	S T R AO NG
CLUB	K L AH B
CORNER	K AO R N ER
PUB	P AH B
LIQUOR	L IH K ER
COUNTER	K AW N T ER
RAISING	R EY Z IH NG
BAR	B AA R
I'D	AY D
SHOOT	SH UW T
BUSY	B IH Z IY
GAZING	G EY Z IH NG
STARS	S T AA R Z
AMAZING	AH M EY Z IH NG
FRIENDS	F R EH N D Z
MONSTER	M AA N S T ER
UNDER	AH N D ER
ALONG	AH L AO NG
VOICES	V OY S AH Z
VOICES(2)	V OY S IH Z
HEAD	HH EH D
HOLDIN'	HH OW L D IH N Z
FAME	F EY M
COVER	K AH V ER
NEWSWEEK	N UW Z W IY K
WELL	W EH L
BEGGARS	B EH G ER Z
CHOOSEY	CH UW Z IY
RECEIVE	R AH S IY V
RECEIVE(2)	R IH S IY V
RECEIVE(3)	R IY S IY V
ATTENTION	AH T EH N SH AH N
LEFT	L EH F T
PUBLIC	P AH B L IH K
EXCUSE	IH K S K Y UW S
EXCUSE(2)	IH K S K Y UW Z
WANTIN	W AA N T IH N
CAKE	K EY K
EAT	IY T
MADE	M EY D
BALLOON	B AH L UW N
EGO	IY G OW
INFLATED	IH N F L EY T IH D
BLEW	B L UW
CONFUSING	K AH N F Y UW Z IH NG
DO'S	D UW Z
BRUCE	B R UW S
LEE	L IY
LOOSE	L UW S
LEAF	L IY F
ABUSED	AH B Y UW Z D
INK	IH NG K
TOOL	T UW L
STEAM	S T IY M
OOH	UW
LOTTERY	L AA T ER IY
WEE	W IY
GAVE	G EY V
BITTERSWEET	B IH T ER S W IY T
WINNIN'	W IH N AH N
MINK	M IH NG K
IRONIC	AY R AA N IH K
GETTIN'	G IH T AH N
HUGE	HH Y UW JH
HUGE(2)	Y UW JH
NEED	N IY D
SHRINK	SH R IH NG K
BEGINNING	B IH G IH N IH NG
SLEEP	S L IY P
SHEEP	SH IY P
CUCKOO	K AH K UW
CUCKOO(2)	K UW K UW
COOKY	K UH K IY
KOOL	K UW L
KEITH	K IY TH
ACTUALLY	AE K CH UW AH L IY
ACTUALLY(2)	AE K CH L IY
ACTUALLY(3)	AE K SH AH L IY
WEIRDER	W IH R D ER
THAN	DH AE N
THAN(2)	DH AH N
FAIR	F EH R
POET	P OW AH T
SQUANDER	S K W AA N D ER
TOMORROW	T AH M AA R OW
TOMORROW(2)	T UW M AA R OW
CONJURIN'	K AA N JH UH R AH N
SOMETIMES	S AH M T AY M Z
THOUGHTS	TH AO T S
SPAWN	S P AA N
SPAWN(2)	S P AO N
PONDERIN'LL	P AA N D ER IH N L
WANDERS	W AA N D ER Z
LOSING	L UW Z IH NG
YODEL-ODEL-AY-HEE-HOO	Y OW D AH L AA D AH L EY HH IY HH UW
WANDERIN'	W AA N D AH R AH N
YONDER	Y AA N D ER
JEFF	JH EH F
VANVONDEREN	V AE N V AA N D AH R AH N
INTERVENTIONIST	IH N T ER V EH N SH AH N IH S T
INTERVENE	IH N T ER V IY N
CONFLICT	K AA N F L IH K T
CONFLICT(2)	K AH N F L IH K T
VERY	V EH R IY
THING	TH IH NG
LOVE'S	L AH V Z
KILLIN'	K IH L IH N
CONQUER	K AA NG K ER
OCD	AA K D
CONKIN'	K AA NG K IH N
